keys,en,es,ru,el,fr,tr,ja,de,ga,uk,gay
HOLD_TO_THROW,Hold to throw,Aguanta para lanzar,"Удерживать, чтобы бросить",Κράτα πατημένο για να ρίξεις,Tenir pour lancer,Fırlatmak için basılı tut,長押しして投げる,"Halten, um zu werfen",Coinnigh chun caith,Утримуйте щоб кинути,Hold to yeet
RELEASE_TO_THROW,Release to throw,Soltar para lanzar,"Отпустить, чтобы бросить",Άφησε για να ρίξεις,Lâcher pour lancer,Fırlatmak için bırak,離して投げる,"Loslassen, um zu werfen",Scaoil chun caith,Відпустити щоб кинути,Release to yeet
GRAB,Grab,Coger,Взять ,Πιάσε,Prendre ,Al,つかむ,Greifen,Greamaigh,Взяти,Take'm
URN,Grab Urn,Coger la urna,Взять Урну,Πιάσε την υδρία,Saisir l'urne,Kül vazosunu al,骨壺を受け取る,Urne greifen,Greamaigh Umar,Взяти Урну,Knick Urn
PITCHER,Grab Pitcher,Coger la jarra,Взять Кувшин,Πιάσε την κανάτα,Saisir la cruche,Sürahiyi al,水差しを手に取る,Krug greifen,Greamaigh Criathra,Взяти Пітчер,Knick Pitcher
KEY,Grab Key,Coger la llave,Взять Ключ,Πιάσε το κλειδί,Saisir la clé,Anahtarı al,キーを取得,Schlüssel greifen,Greamaigh Eochair,Взяти Ключ,Knick Key
SKULL,Grab Skull,Coger la calavera,Взять Череп,Πιάσε το κρανίο,Saisir le crâne,Kafatasını al,頭蓋骨をつかむ,Schädel greifen,Greamaigh Clib,Взяти Череп,Knick Skull
TORCH,Grab Torch,Coger la antorcha,Взять Факел,Πιάσε τη δάδα,Saisir la torche,Meşaleyi al,松明を手に取る,Fackel greifen,Greamaigh Tóirse,Взяти Факел ,Knick Torch
PRESS_BUTTON,Press button,Pulsar el botón,Нажать на кнопку,Πάτησε το κουμπί,Appuyer sur le button,Düğmeye bas,ボタンを押す,Knopf drücken,Brúigh cnaipe,Натисніть кнопку,Push ma
PULL_LEVER,Pull lever,jala la palanca,Потянуть рычаг,Τράβηξε το μοχλό,Tirer le levier ,Kolu çek,レバーを引く,Hebel ziehen,Tarraing luamhán,Потягніть за важіль,Pull lever
LEVER_HANDLE,Lever handle,Coger el mango de la palanca,Ручка рычага,Πιάσε τη λαβή του μοχλού,Saisir la poignée du levier,Çekme kolu,レバーのハンドル,Hebelgriff greifen,Greamaigh láimhseáil an luamháin,Ручка важеля,Cranky
ATTACH_LEVER,Attach lever,fijar la palanca,Прикрепить рычаг,Συνδέσε το μοχλό,Fixer le levier,Kolu tak,レバーを取り付ける,Hebel befestigen,Ceangail luamhán,Прикріпити важіль,Crank ma
BABY,Grab Baby,Coger al bebé,Взять Ребёнка ,Πιάσε το μωρό,Saisir le bébé,Bebek,赤ちゃんを抱きしめて,Baby greifen,Greamaigh Leanbh,Взяти Немовля,Kidnap
BELL,Grab Bell,Coger la campana,Взять Колокол,Πιάσε την καμπάνα,Saisir la cloche,Zili al,ベルをつかむ,Glocke greifen,Greamaigh Clog,Взяти Дзвінок,Knick Bell
SAVE_BABY,Save Baby,Salvar al bebé,Спасти Ребёнка,Σώσε το μωρό,Sauver le bébé,Bebeği Kurtar,赤ちゃんを救う,Baby retten,Sábháil an Leanbh,Врятуйте Немовля,Un kidnap
STATUE_PIECE_HEAD,Grab Head piece,Coger la pieza de la cabeza,Взять Часть Головы,Πιάσε το κομμάτι του κεφαλιού,Saisir la pièce de tête,Heykelin kafa parçasını al,ヘッドピースを掴む,Kopfteil greifen,Greamaigh Píosa Ceann,Взяти Частину Голови,Knick Head piece
STATUE_PIECE_BASE,Grab Base piece,Coger la pieza de la base,Взять Часть Основы,Πιάσε το κομμάτι της βάσης,Saisir la pièce de base,Heykelin taban parçasını al,ベースパーツを手に取る,Sockelteil greifen,Greamaigh Píosa Bonn,Взяти Платформу,Knick Base piece
STATUE_PIECE_ARM,Grab Arm piece,Coger la pieza del brazo,Взять Часть Руки,Πιάσε το κομμάτι του χεριού,Saisir la pièce de bras,Heykelin kol parçasını al ,グラブアームパーツ,Armteil greifen,Greamaigh Píosa Gairde,Взяти Частину Руки,Knick Arm piece
STATUE_PROMPT,Insert,Adjuntar,Прикрепить,Εισαγωγή,Assembler ,Ekle,はめ込む,Einsetzen,Cuir isteach,Прикріпити,Nail it
STONE,Grab Stone,Coger piedra,Взять Камень,Πιάσε πέτρα,Saisir la pierre,Taşı al ,石をつかむ,Stein greifen,Greamaigh Cloch,Камінь,Knick Stone
SAVE,Hold to save,Mantén pulsado para guardar,Удерживать для сохранения,Κράτα για να σώσεις,Maintenir pour sauvegarder,Kaydetmek için basılı tut,長押しして保存,"Halten, um zu speichern",Coinnigh chun sábháil,Утримуйте щоб зберегти,Touch it
PULL_CHAIN,Pull chain,Cadena de accionamiento,Тянуть Цепь,Τράβηξε αλυσίδα,Tirer la chaîne,Zinciri çek,鎖を引く,Kette ziehen,Tarraing an slabhra,Тягнути ланцюг,Yank it
UNLOCK_DOOR,Unlock door,abrir la puerta,Открыть Дверь,Ξεκλείδωσε πόρτα,Déverrouiller la porte,Kapıyı aç,扉を開ける/ドアを開ける,Tür entriegeln,Díghlasáil an doras,Відкрити двері,Bust it down
TORCH_SCONCE,Light sconce,Encender el aplique,Зажечь бра,Άναψε απλίκα,Allumez l'applique ,Meşaleyi yak,火を灯す,Wandleuchte anzünden,Las an scóns,Запалити світильник,Spark one up
START_GAME,Start Game,Empezar el juego,Начать Игру,Ξεκίνα παιχνίδι,démarrer le jeu,Oyuna başla,ゲーム開始,Spiel starten,Cuir Tús leis an gCluiche,Почати гру,Shmove it
LOAD_GAME,Load Game,Cargar partida ,Загрузить Игру,Φόρτωσε παιχνίδι,Charger le jeu,Oyunu yükle,ゲームを読み込む,Spiel laden,Luchtaigh an Cluiche,Завантажити гру,Shmove it pt2
DEV_ROOM,Dev Room,Sala de desarrollo,Комната Разработчиков ,Δωμάτιο προγραμματιστών,Salle des développeurs ,Geliştirme odası,開発ルーム,Entwicklerraum,Seomra Forbartha,Розробницька кімната,Goon cave
OPTIONS,Options,Configuración,Настройки,Επιλογές,Paramètres ,Ayarlar,設定,Optionen,Roghanna,Параметри,Contditionals
EXIT,Exit,Salir,Выход,Έξοδος,Quitter,Çıkış ,終了,Beenden,Scoir,Вихід,Out'ie
AUDIO,Audio,Audio,Аудио,Ήχος,Audio,Ses,音声,Audio,Fuaim,Аудіо,noises
CONTROLS,Controls,Controles,Управление,Χειριστήρια,Commandes,Kontrol,操作方法,Steuerung,Rialuithe,Керування,Manipulation
VIDEO,Video,Video,Видио,Βίντεο,Vidéo,Video,映像,Video,Físeán,Відео,observe
Master,Master Volume,Volumen principal,Общий Звук,Γενική ένταση,Volume principal,Ana ses,マスターボリューム,Gesamtlautstärke,Máistir-Láidir,Загальна гучність,Big noise
SFX,Sound Effects Volume,Volumen de los efectos de sonido ,Звуковые Эффекты,Ένταση ηχητικών εφέ,Volume des effets sonores,Effekt Sesleri,効果音の音量,Lautstärke der Soundeffekte,Láidir na nÉifeachtaí Fuaime,Гучність ефектів,sometimes noise
MUSIC,Music Volume,Volumen de la música,Музыка,Ένταση μουσικής,Volume de la musique,Müzik,音楽の音量,Musiklautstärke,Láidir an Cheoil,Гучність музики,Boogie
AMBIENT,Ambient Volume,Volumen ambiental,Звук Окружения,Ένταση περιβάλλοντος,Volume ambiant,Ortam sesleri,環境の音量,Umgebungslautstärke,Láidir na Timpeallachta,Гучність довкілля,Biirds
MUTE,Mute,Silenciar,Заглушить ,Σίγαση,Couper le son,Sesi kapat,ミュート,Stummschalten,Múchtán,Вимкнути звук ,Shautap
FULLSCREEN,Fullscreen,Pantalla completa,Полный Экран,Πλήρης οθόνη,Plein écran,Tam ekran,全画面表示,Vollbild,Lánscáileán,Повний екран,Big mode
RESOLUTION,Resolution,Resolución,Разрешение,Ανάλυση,Résolution,Çözünürlük,解像度,Auflösung,Taifeach,Резолюція,Stretch ma
ANTI_ALIASING,Anti-Aliasing,Suavizado,Сглаживание,Αντι-αλλοιωτικό,Anticrénelage,Görüntü yumuşatma,アンチエイリアシング,Anti-Aliasing,Frith-Aliasing,Згладжування,Anti-Aliasing
EXPEREMENTAL_HANDS,Experemental Hands Lighting,Iluminación experimental con las manos,Экспериментальное освещение рук,Πειραματικός φωτισμός χεριών,Éclairage expérimental,Deneysel El Işıkları,手のライティング,Experimentelle Handbeleuchtung,soilsiú lámha turgnamhach,Експериментальне освітлення рук,Cock and ball tourtchure
GRAB_LEFT,Grab Left,Toma a la izquierda,Взять Левой,Πιάσε αριστερά,Saisir avec la main gauche,Sol elle tut,左手でつかむ,Links greifen,Greamaigh Ar Chlé,Взяти(Л),Yank left
GRAB_RIGHT,Grab Right,Toma la derecha,Взять Правой,Πιάσε δεξιά,Saisir avec la main droite,Sağ elle tut,右手でつかむ,Rechts greifen,Greamaigh Ar Dheis,Взяти(П),Yank right
TURN_LEFT,Turn Left,Gira a la izquierda,Поворот Налево,Στρίψε αριστερά,Tourner à gauche,Sola dön,左を向く,Nach links drehen,Cas Ar Chlé,Поверніть ліворуч,Rotate left
TURN_RIGHT,Turn Right,Gira a la derecha,Поворот Направо,Στρίψε δεξιά,Tourner à droite,Sağa dön,右を向く,Nach rechts drehen,Cas Ar Dheis,Поверніть праворуч,Rotate righht
LEFT_HAND,Left Hand,Mano izquierda,Левая Рука,Αριστερό χέρι,Main gauche,Sol el,左手,Linke Hand,An Lámh Chlé,Ліва рука,Not right hand
RIGHT_HAND,Right Hand,Mano derecha,Правая Рука,Δεξί χέρι,Main droite,Sağ el,右手,Rechte Hand,An Lámh Dheas,Права рука,Right Hand
WALKING,Walking,Locomoción,Передвижение,Περπάτημα,locomotion,Yürüme,移動,Gehen,Ag Siúl,Ходьба,Shmoover
USE_LEFT,Use Left Hand Item,Utiliza el elemento de la izquierda,Применить в Левой Руке,Χρήση αντικειμένου αριστερού χεριού,Utiliser l’objet tenu dans la main gauche,Sol elindeki nesneyi kullan,左手アイテムを使う,Gegenstand mit der linken Hand benutzen,Úsáid Mír na Láimhe Cíche,Використовувати предмет (Л),Item usme ma
USE_RIGHT,Use Right Hand Item,Utiliza el elemento de la derecha,Применить в Правой Руке,Χρήση αντικειμένου δεξιού χεριού,Utiliser l’objet tenu dans la main droite,Sağ elindeki nesneyi kullan,右手アイテムを使う,Gegenstand mit der rechten Hand benutzen,Úsáid Mír na Láimhe Deise,Використовувати предмет (П),Item usema the other
CROUCH,Crouch,Agacharse,Присесть,Καθίσματα,S’accroupir,Eğil,しゃがむ,Hocken,Crúb,Присісти,Shrink
RELOAD_LAST_SAVE,Reload Last Save,Recargar la última partida guardada,Загрузить Сохранение,Επαναφόρτωση τελευταίας αποθήκευσης,Charger la dernière sauvegarde,Son kaydı yükle,最後のセーブをロード,Letzten Speicherstand laden,Athlódáil an tSábháil Dheireanach,Завантажити останнє збереження,Run dat back
RESTART_LEVEL,Restart Level,Nivel de reinicio,Начать Заново,Επανεκκίνηση επιπέδου,Redémarrer le niveau,Bölümü yeniden başlat,ステージをやり直す,Level neu starten,Atosaigh an Leibhéal,Повернутися до початку рівня,It's so joever
EXIT_TO_MENU,Exit To Menu,Volver al menú,Выйти в Меню,Έξοδος στο μενού,Retourner au menu principal,Menüye dön,メニューに戻る,Zum Menü zurückkehren,Sulaigh Amach go dtí an Roghchlár,Вийти до меню,Frick off
BACK,Back,Atrás,Назад,Πίσω,Retour,Geri dön,戻る,Zurück,Ar Ais,Назад,Posteriour
CONFIRM,Confirm,Confirmar,Подтвердить,Επιβεβαίωση,Confirmer,Onayla,決定,Bestätigen,Dearbhaigh,Підтвердити,Yep
CREDITS,Credits,Créditos,Титры,Πιστώσεις,Générique,Krediler,クレジット,Abspann,Creidiúintí,Подяки,The LADS
LANGUAGE,Language,Idioma,Язык,Γλώσσα,Langue,Dil,言語,Sprache,Teanga,Мова,Talkie
RESUME,Resume,Reanudar,Продолжить,Συνέχιση,Reprendre,Devam Et,履歴書,Fortsetzen,Lean ar Aghaidh,Продовжити,go on
PAUSED,Paused,Pausado,Пауза,Παύση,En pause,Duraklatıldı,一時停止中,Pausiert,Ar Fionraí,Призупинено,Stop
CANCEL,Cancel,Cancelar,Отменить,Ακύρωση,Annuler,Iptal,キャンセル,Abbrechen,Cealaigh,Скасувати,Nuh uh
PAUSE,Pause,Pausa,Пауза,Παύση,Pause,Duraklat,一時停止,Pause,Fionraigh,Пауза,Stop em
MENU,Menu,Menú,Меню,Μενού,Menu,Menü,メニュー,Menü,Roghchlár,Меню,Wine card
EXIT_MAIN_MANU_CONFIRM,Exit to Main Menu?,¿Salir al menú principal?,Выйти в Главное Меню?,Επιστροφή στο κύριο μενού;,Retour au menu principal ?,Ana Menüye dönmek ister misiniz?,メインメニューに戻りますか？,Zum Hauptmenü zurückkehren?,Scoir go dtí an Príomh-Roghchlár?,Вийти до головного меню?,ya sure lad?
CONFIRM_EXIT,Confirm exit,Confirmar salida,Подтвердить Выход,Επιβεβαίωση εξόδου,Confirmer la sortie,Çıkışı onaylayın,終了を確認,Beenden bestätigen,Deimhnigh scoir,Підтвердити вихід,ya sure lad?
RESTART_THE_GAME_CONFIRM,Restart The Level?,¿Reiniciar el nivel?,Перезапустить Уровень?,Επανεκκίνηση του επιπέδου;,Recommencer le niveau ?,Seviyeyi yeniden başlatmak ister misiniz?,レベルをやり直しますか？,Level neu starten?,Athchuir an Leibhéal?,Перезапустити рівень?,ya sure lad?
CONFIRM_RESTART,Confirm restart,Confirmar reinicio,Подтвердить Перезапуск,Επιβεβαίωση επανεκκίνησης,Confirmer la reprise,Yeniden başlatmayı onaylayın,やり直しを確認,Neustart bestätigen,Deimhnigh athchur,Підтвердити перезапуск,ya sure lad?
EXIT_GAME_CONFIRM,Exit to Desktop?,¿Salir al escritorio?,Выйти на рабочий стол?,Επιστροφή στην επιφάνεια εργασίας;,Retour au bureau ?,Masaüstüne dönmek ister misiniz?,デスクトップに戻りますか？,Zum Desktop zurückkehren?,Scoir go dtí an Deasc?,Вийти на робочий стіл?,ya sure lad?
GAME_EXIT,Confirm exit game.,Confirmar salida del juego.,Подтвердить выход из игры,Επιβεβαίωση εξόδου από το παιχνίδι.,Confirmer la sortie du jeu.,Oyundan çıkmayı onaylayın.,ゲーム終了を確認,Beenden bestätigen.,Deimhnigh an cluiche a scor.,Підтвердити вихід з гри.,ya sure lad?
SKIP,Skip,Saltar,Пропустить,Παράλειψη,Passer,Atla,スキップ,Überspringen,léim,Пропустити,Move on